1,Massachusetts Institute of Technology (MIT),United States
2,Stanford University,United States
3,Harvard University,United States
4,California Institute of Technology (Caltech),United States
5,University of Oxford,United Kingdom
6,University of Cambridge,United Kingdom
7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland
8,Imperial College London,United Kingdom
9,University of Chicago,United States
10,UCL (University College London),United Kingdom
11,National University of Singapore (NUS),Singapore
12,Nanyang Technological University, Singapore
13,Princeton University,United States
14,Cornell University,United States
15,Yale University,United States
16,Columbia University,United States
17,Tsinghua University,China
18,University of Edinburgh ,United Kingdom
19,University of Pennsylvania,United States
20,University of Michigan,United States
21,Johns Hopkins University,United States
22,EPFL - Ecole Polytechnique Federale de Lausanne,Switzerland
23,University of Tokyo,Japan
24,Australian National University,Australia
25,University of Hong Kong,Hong Kong
26,Duke University,United States
27,University of California, Berkeley (UCB),United States
28,University of Toronto,Canada
29,University of Manchester,United Kingdom
30,Peking University,China
31,King's College London,United Kingdom
32,University of California, Los Angeles (UCLA),United States
33,McGill University,Canada
34,Northwestern University,United States
35,Kyoto University ,Japan
36,Seoul National University,South Korea
37,Hong Kong University of Science and Technology,Hong Kong
38,London School of Economics and Political Science (LSE),United Kingdom
39,University of Melbourne,Australia
40,KAIST - Korea Advanced Institute of Science & Technology,South Korea
41,University of California, San Diego (UCSD),United States
42,University of Sydney,Australia
43,New York University (NYU),United States
44,Fudan University,China
45,University of New South Wales (UNSW Sydney),Australia
46,Carnegie Mellon University,United States
47,University of British Columbia,Canada
48,University of Queensland,Australia
49,Chinese University of Hong Kong (CUHK),Hong Kong
50,Universite PSL,France
51,University of Bristol,United Kingdom
52,Delft University of Technology,Netherlands
53,University of Wisconsin-Madison,United States
54,University of Warwick,United Kingdom
55,City University of Hong Kong,Hong Kong
56,Brown University,United States
57,University of Amsterdam,Netherlands
58,Tokyo Institute of Technology,Japan
59,Monash University,Australia
59,Shanghai Jiao Tong University,China
61,Technical University of Munich,Germany
62,Ludwig-Maximilians-Universität München,Germany
63,University of Texas at Austin,United States
64,Ruprecht-Karls-Universitat Heidelberg,Germany
65,Ecole Polytechnique,France
66,University of Washington,United States
67,Osaka University ,Japan
68,Zhejiang University,China
69,Georgia Institute of Technology,United States
69,University of Glasgow,United Kingdom
71,University of Illinois at Urbana-Champaign,United States
72,National Taiwan University (NTU),Taiwan
73,Universidad de Buenos Aires (UBA),Argentina
74,Durham University,United Kingdom
75,Sorbonne University,France
75,University of Sheffield,United Kingdom
77,Tohoku Univeristy,Japan
78,University of Zurich,Switzerland
79,University of Birmingham,United Kingdom
79,University of Copenhagen,Denmark
81,KU Leuven,Belgium
82,University of Nottingham,United Kingdom
83,Pohang University of Science and Technology (POSTECH),South Korea
83,University of North Carolina, Chapel Hill,United States
85,University of Auckland,New Zealand
86,Korea University,South Korea
87 ,Rice University,United States
87,Universiti Malaya (UM),Malaysia
89,Ohio State University,United States
90,Lomonosov Moscow State University,Russia
91,University of Western Australia,Australia
92,Lund University,Sweden
93,Boston University,United States
93,University of Leeds,Leeds
95,Pennsylvania State University,United States
96,University of Southampton,United Kingdom
97,University of St Andrews,United Kingdom
98,University of Science and Technology of China,China
99,Eindhoven University of Technology,Netherlands
100,Purdue University,United States
100,Sungkyunkwan University (SKKU),South Korea
100,University of California, Davis,United States
100,Washington University in St Louis,United States
