"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Age","MotherLanguage","Institution","Institution[other]","AreaStudy","AreaStudy[other]","Level","WhatisOA[SQ001]","WhatisOA[SQ002]","WhatisOA[SQ003]","WhatisOA[SQ004]","WhatisOA[SQ005]","HeardAboutIt","HeardAboutIt[comment]","Importance","Legal","Paywall","SciHub","Unpaywall","Final","interviewtime","groupTime1","AgeTime","MotherLanguageTime","InstitutionTime","AreaStudyTime","LevelTime","WhatisOATime","groupTime2","HeardAboutItTime","ImportanceTime","LegalTime","PaywallTime","SciHubTime","UnpaywallTime","FinalTime"
"1","2019-05-21 11:23:21","2","en","62953214","2019-05-21 11:20:33","2019-05-21 11:23:21","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","No","Yes","Yes","No","No","","Extremely","Legal","Yes","Never heard of it","Very often","All Rights Reserved","168.49","48.17","","","","","","","120.32","","","","","","",""
"2","","","en","562308668","2019-05-21 11:37:57","2019-05-21 11:37:57","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"3","2019-05-21 11:46:37","2","en","494571303","2019-05-21 11:45:20","2019-05-21 11:46:37","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","Yes","No","Yes","","Quite","Legal","Yes","Never heard of it","Never heard of it","All Rights Reserved","78.15","34.19","","","","","","","43.96","","","","","","",""
"4","2019-05-21 12:05:10","2","en","414230852","2019-05-21 12:01:46","2019-05-21 12:05:10","30 - 34","Portuguese","","","Humanities, Arts and Social Sciences","","Master","Yes","Yes","Yes","Yes","No","Yes","","Extremely","Legal","Yes","Rarely","Often","Doesn't know","205.13","108.24","","","","","","","96.89","","","","","","",""
"5","","1","en","185661273","2019-05-21 12:05:41","2019-05-21 12:08:22","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","","","","","","","","","161.48","161.48","","","","","","","","","","","","","",""
"6","2019-05-21 12:13:51","2","en","406042368","2019-05-21 12:12:38","2019-05-21 12:13:51","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","No","","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","72.55","29.93","","","","","","","42.62","","","","","","",""
"7","2019-05-21 12:20:07","2","en","1951906609","2019-05-21 12:17:47","2019-05-21 12:20:07","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","No","No","Yes","","Extremely","Legal","No","Often","Rarely","Open Access","140.02","28.49","","","","","","","111.53","","","","","","",""
"8","2019-05-21 12:21:24","2","en","439548347","2019-05-21 12:19:34","2019-05-21 12:21:24","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","Yes","No","No","","Quite","Legal","Yes","Rarely","Never heard of it","Open Access","110.48","42.78","","","","","","","67.7","","","","","","",""
"9","2019-05-21 12:25:15","2","en","429189461","2019-05-21 12:22:59","2019-05-21 12:25:15","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","Yes","No","Yes","","Extremely","Legal","Yes","Never heard of it","Never heard of it","All Rights Reserved","136.94","57.78","","","","","","","79.16","","","","","","",""
"10","","","en","2054295009","2019-05-21 12:35:20","2019-05-21 12:35:20","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"11","2019-05-21 12:39:10","2","en","788877048","2019-05-21 12:36:36","2019-05-21 12:39:10","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","não falo inglês","Extremely","Legal","Yes","Never heard of it","Never heard of it","All Rights Reserved","154.58","68.14","","","","","","","86.44","","","","","","",""
"12","2019-05-21 12:59:03","2","en","124346965","2019-05-21 12:50:47","2019-05-21 12:59:03","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","Yes","No","Yes","","Extremely","Legal","","Never heard of it","Never heard of it","Doesn't know","497.48","295.55","","","","","","","201.93","","","","","","",""
